topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
0,469,0_optimization_algorithm_algorithms_genetic,algorithm; optimization; algorithms; heuristic; abc; salesman; colony; vehicle routing; solution; tsp; traveling salesman; artificial; genetic; time; timetabling,0.8721043943226209,0.7972523796379414,0.04,no_trend,,0.2832623720169067,0.0217894132320697,0.0590068248850056,logit,-0.0880626302841297,0.060900261054622,0.0871709619017138
1,313,1_object_detection_object detection_tracking,detection; object; images; object detection; image; learning; deep; model; deep learning; tracking; video; traffic; objects; vehicles; classification,0.0002846249151248,5.7932504848423605e-05,0.5766666666666667,increasing,,0.098417580127716,0.016402930021286,0.0341089340915294,logit,0.3701343387289518,3.768838263422273e-08,1.5284732957212554e-07
2,277,2_patients_health_patient_medical,disease; patients; health; data; patient; heart; learning; diseases; machine; heart disease; machine learning; diagnosis; diabetes; mobile; anemia,0.9525718390852472,0.944141999801307,0.0133333333333333,no_trend,,0.1113190054893493,0.0222638010978698,0.0433233565128938,logit,-0.0570710456323118,0.3417006218818607,0.3959388158313623
3,263,3_intrusion_intrusion detection_attacks_detection,intrusion; intrusion detection; attacks; detection; learning; iot; cyber; network; attack; machine; machine learning; security; systems; data; ids,0.0246916446632033,0.0124550773964831,0.36,increasing,,0.0974467396736145,0.0162411232789357,0.0337724664297624,logit,0.6061158975608302,1.2051594311785946e-13,9.775182052893045e-13
4,226,4_face_face recognition_recognition_biometric,face recognition; face; recognition; fingerprint; images; biometric; image; facial; face detection; palm; vein; fingerprint recognition; faces; fingerprints; systems,0.8721043943226209,0.8335157043083457,-0.0333333333333333,no_trend,,0.163727581501007,0.0272879302501678,0.0567436557486608,logit,-0.1370807946934375,0.0342960889193784,0.0521586352315547
5,218,5_customer_mining_customers_data mining,data; mining; data mining; association; apriori; association rules; basket analysis; apriori algorithm; basket; customer; market basket; rules; customers; algorithm; association rule,0.5699370894087771,0.4690632682744802,-0.1066666666666666,no_trend,,0.1079127788543701,0.03597092628479,0.0578929725081133,logit,-0.1018712565446211,0.1219582792698264,0.1561921822227601
6,215,6_cancer_breast_segmentation_images,histopathological; cancer; images; segmentation; histopathological images; nuclei; breast; histopathology; cells; mitosis; tissue; cell; pathologists; slide; breast cancer,3.432043347454236e-05,1.8818654792251976e-06,0.6833333333333333,increasing,,0.0488504767417907,0.0122126191854476,0.0218820760696021,logit,0.6276738929431501,1.5186171588171897e-11,9.280485099529995e-11
7,214,7_sentiment_sentiment analysis_analysis_twitter,sentiment; sentiment analysis; analysis; turkish; lexicon; emotion; texts; emotions; text; data; analysis turkish; reviews; social media; english; learning,0.000182424551134,2.7444401498044613e-05,0.5866666666666667,increasing,,0.0958870649337768,0.0159811774889628,0.0332319243555079,logit,0.5249728142144329,1.2046202768070462e-09,5.862485347127625e-09
8,177,8_recommendation_recommender_recommendation systems_filtering,recommendation; recommender; collaborative filtering; filtering; recommender systems; collaborative; recommendation systems; item; systems; user; users; content; cf; user item; recommendations,0.0017213911036726,0.0005788748844208,0.4933333333333333,increasing,,0.1169118285179138,0.0233823657035827,0.0454999827315245,logit,0.2101630444287127,0.0108033838860695,0.0179237959927972
9,168,9_video_retrieval_image_multimedia,image; video; retrieval; image retrieval; multimedia; mpeg; content; images; content image; query; data; cbir; texture; color; video data,0.0009253642575431,0.0002456719267813,-0.5266666666666666,decreasing,,,,,logit,-0.4086804671485766,1.9497539700396032e-08,8.37247293017006e-08
10,166,10_stock_price_market_financial,stock; stock market; price; trading; market; technical indicators; technical analysis; prices; financial; stocks; data; stock price; technical; indicators; learning,3.432043347454236e-05,1.2425009912053753e-06,0.69,increasing,,0.0560203194618225,0.0186734398206075,0.0300537420028423,logit,0.7336062804602259,1.5255591944432872e-11,9.280485099529995e-11
11,165,11_plant_agricultural_diseases_leaf,plant; diseases; leaf; agricultural; plant diseases; learning; disease; deep; deep learning; model; images; classification; leaves; models; accuracy,5.145431865249961e-06,4.5534795267698775e-08,0.7566666666666667,increasing,,0.0638969540596008,0.0159742385149002,0.0286219931227799,logit,1.3942720583807071,5.504017216364191e-20,1.004483141986465e-18
12,148,12_rendering_graphics_3d_tracing,ray tracing; ray; rendering; tracing; gpu; graphics; gpus; volume rendering; wave propagation; volume; parallel; culling; direct volume; wave; mesh,3.432043347454236e-05,2.126044551520323e-06,-0.68,decreasing,,,,,logit,-0.7266827192282763,9.168717321571615e-21,2.2310545482490936e-19
13,146,13_energy_electricity_solar_consumption,energy; solar; electricity; wind; electricity consumption; energy potential; solar energy; consumption; data; forecasting; solar radiation; wind solar; renewable; electrical energy; renewable energy,7.456048882724189e-05,9.23758268656094e-06,0.6333333333333333,increasing,,0.0432759523391723,0.0216379761695861,0.0299966043499438,logit,0.7009635822220915,7.942863769847815e-10,4.141636108563504e-09
14,146,14_blockchain_contracts_smart_decentralized,blockchain; smart contracts; blockchain technology; contracts; smart contract; smart; contract; bitcoin; technology; ethereum; transactions; chain; cryptocurrency; blockchain network; cryptocurrencies,0.0002121832845337,3.3867447644553295e-05,0.58,increasing,,0.0823740363121032,0.0205935090780258,0.0368986148951866,logit,1.1701306701274463,1.4983799088525757e-15,1.3672716668279752e-14
15,144,15_software_code_metrics_projects,defect; software; defect prediction; bug; software defect; prediction; defects; sdp; model; code; data; bug fix; models; projects; quality,0.0116021119985553,0.0053390249904856,0.4,increasing,,0.0217995643615722,0.0217995643615722,0.0239492692952346,logit,0.1988721610607694,0.0284994448474825,0.0442650951886431
16,140,16_sensor_sensor networks_wireless sensor_wireless,sensor; wireless sensor; sensor networks; energy; wireless; routing; nodes; sensor nodes; wsns; lifetime; network; networks; sink; network lifetime; wsn,0.0246916446632033,0.012248279123816,-0.36,decreasing,,,,,logit,-0.7668142699572277,4.704247008747249e-21,1.7170501581927457e-19
17,132,17_protein_proteins_drug_interactions,protein; drug; proteins; amino; prediction; drugs; protein protein; ligand; drug target; interactions; amino acid; subcellular; subcellular localization; binding; molecules,0.6218678015024411,0.5283124685330474,-0.0933333333333333,no_trend,,,,,logit,-0.2087963984833366,0.0129998276884991,0.021088609361343
18,130,18_3d_depth_shape_object,3d; shape; point cloud; object; stereo; depth; segmentation; objects; point clouds; reconstruction; point; camera; images; dimensional; shapes,0.1604274523568564,0.1121572454530235,-0.23,no_trend,,,,,logit,-0.2364751221336013,0.0052843156439149,0.0096438760501448
19,127,19_search_query_web_news,search; web; search engine; search engines; engines; query; engine; information; pagerank; web information; cache; engine optimization; seo; pages; web search,0.0052193324723384,0.0022170615811702,-0.44,decreasing,,,,,logit,-0.3734740903948664,7.3647741790607134e-06,2.0678019810439694e-05
20,116,20_agent_agents_services_web services,agent; agents; multiagent; semantic web; semantic; services; web; web services; service; agent systems; multi agent; commitment; negotiation; agent frameworks; seagent,5.596447771827329e-05,3.962086918107843e-06,-0.6566666666666666,decreasing,,0.0355021953582763,0.0355021953582763,0.0390031480952983,logit,-1.2098511862151269,2.7696660665144605e-33,2.021856228555556e-31
21,115,21_image_images_edge_color,image; segmentation; images; image segmentation; color; edge detection; edge; algorithm; image processing; edges; optimization; detection; algorithms; color image; processing,0.0671287372228549,0.0398019946365599,0.2966666666666667,increasing,,,,,logit,0.0379877997168223,0.695019403648386,0.7248059495190311
22,104,22_agile_software_software development_process,agile; scrum; software development; software; agile software; development; extreme programming; process; project; projects; bug; project management; waterfall; failure factors; agile waterfall,0.2676471334933507,0.1989589310924022,-0.1866666666666666,no_trend,,,,,logit,-0.2475237694985229,0.0075487798623304,0.0130814799775791
23,103,23_social_link_networks_community,networks; link prediction; complex networks; network; community; link; social; community detection; social networks; prediction; communities; nodes; time; complex; centrality,0.0279946080514456,0.0143689138671136,0.35,increasing,,,,,logit,0.0902524113179433,0.3883459035859549,0.4429570462777298
24,100,24_text_text classification_classification_documents,text; classification; documents; text classification; categorization; data; web; document; text categorization; mining; learning; pages; news; websites; web pages,0.9627342533101716,0.9627342533101716,0.01,no_trend,,,,,logit,-0.0681829579854281,0.4914925886794831,0.5519839842092656
25,99,25_privacy_sensitive_data_privacypreserving,data; privacy; privacy preserving; anonymization; hiding; data utility; preserving; preserving data; sensitive; mining; itemset; data mining; utility; data privacy; mondrian,0.4267104638393301,0.3360816927584105,0.14,no_trend,,,,,logit,-0.1120198033783351,0.261497522294186,0.317853407726336
26,98,26_generative_image_generative adversarial_adversarial,image; discriminator; generative; images; gan; gans; adversarial; generative adversarial; adversarial networks; image generation; model; generation; networks; models; editing,6.375598366894497e-05,5.269181198475081e-06,0.6233333333333333,increasing,,0.027103304862976,0.027103304862976,0.0297760237859836,logit,0.9961099356369756,1.6482833327716644e-09,7.520292705770719e-09
27,94,27_maintenance_fault_industrial_predictive,predictive maintenance; maintenance; fault; data; learning; remaining useful; predictive; useful life; rul; vibration; fault diagnosis; industrial; fault detection; faults; machine,0.0013559739358274,0.0003905526526861,0.5033333333333333,increasing,,,,,logit,0.6783180679813241,2.1877483867140697e-06,6.654401342921962e-06
28,93,28_reinforcement_reinforcement learning_game_agents,reinforcement learning; reinforcement; learning; agent; rl; environment; reward; policy; agents; pruning; drl; rewards; environments; model; game,0.8518874612330571,0.7614215361463608,-0.0466666666666666,no_trend,,,,,logit,0.0676360113932771,0.5257462574894058,0.5728280118914422
29,90,29_defects_quality control_defect_fabric,defect; defect detection; quality control; fabric; defects; detection; quality; images; image; steel; production; control; image processing; learning; fabric defect,0.0013559739358274,0.0003959923883389,0.5066666666666667,increasing,,,,,logit,0.5500229949680605,4.891919043245365e-05,0.0001275393179131
