topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
25,1260,Machine Learning,"learning, neural networks, classification",0.0001242593683646,1.0143621907321432e-05,0.6333333333333333,increasing,,0.2867825031280517,0.0286782503128051,0.0712627749065743,logit,0.8027672842624336,1.725529195059969e-83,7.24722261925187e-82
32,927,Natural Language Processing,"abstractive summarization, Transformer model, large pretrained language models",0.0088334348789588,0.0032449352616583,0.4233333333333333,increasing,,1.112768530845642,0.0585667647813495,0.1783078294816887,logit,0.1952054558672375,1.1050518616863069e-07,3.09414521272166e-07
22,782,Image Processing,"histopathological tissue image, cell behavior analysis, deep learning",0.0002376854038666,5.3357947806809136e-05,0.58,increasing,,0.9782344698905944,0.0575432041112114,0.1694324531711815,logit,0.1648470086365337,2.9997826174243324e-05,6.631098417464313e-05
33,758,Network Traffic Management,"Random Early Detection, Tail-Drop Algorithms, Quality of Service",0.0004074282446915,0.0001164080699118,-0.5533333333333333,decreasing,,1.6213204264640808,0.0736963830210945,0.2342110723429789,logit,-0.2919419807274818,4.000343284389535e-16,2.4002059706337207e-15
34,697,Optimization Algorithms,"nature-inspired algorithms, Particle Swarm Optimization, Artificial Bee Colony",0.6090209421715691,0.5593049468922573,-0.0866666666666666,no_trend,,1.0293291807174685,0.0643330737948417,0.1859464995952604,logit,-0.0947711798815049,0.0147035962280029,0.0228722607991157
12,620,Data Mining and Analysis,"data mining, big data, analysis, machine learning",0.0097221811431782,0.0037698253412323,-0.4166666666666667,decreasing,,1.1572770476341248,0.0642931693130069,0.1926051222800459,logit,-0.3749529052109033,4.809077420044906e-22,4.039625032837721e-21
9,581,Computer Systems,"hardware, networks, os, distributed",1.2703302187944132e-07,2.5925106506008433e-09,-0.8533333333333334,decreasing,,2.3912294507026672,0.1086922477592121,0.3454298143202921,logit,-0.6011057134169514,1.302202527852759e-50,2.734625308490794e-49
26,526,Medical Imaging,"diagnosis, medical imaging, disease detection",4.67275163651415e-06,1.907245565924143e-07,0.7466666666666667,increasing,,0.6869752407073975,0.0686975240707397,0.1707069343873524,logit,0.6387121607255539,6.823915479483136e-27,7.165111253457292e-26
10,509,Cryptography,"cryptography, homophonic cipher, encryption, authentication",0.0021681860466983,0.0007079791172892,-0.4866666666666667,decreasing,,1.358051061630249,0.0798853565664852,0.2352175577389688,logit,-0.1546830230937532,0.0004228358549432,0.0008456717098864
45,441,Software Project Management,"bus factor, truck factor, visualization",0.3606700783601189,0.2723427122311102,-0.16,no_trend,,1.3840617537498474,0.0865038596093654,0.2500283127639247,logit,-0.091557534417162,0.0533185496773778,0.0739881286038087
43,346,Signal Processing,"digital filters, group delay reduction, finite impulse response",0.5143559151043646,0.4408764986608839,-0.1133333333333333,no_trend,,1.5742867588996887,0.1431169780817899,0.3670878009727238,logit,-0.11437743557405,0.0330346890056026,0.0478433426977693
51,296,Wireless Sensor Networks,"WSN, RSSI-based clustering, sensor nodes",0.1016037080482127,0.0684269870528779,-0.2633333333333333,no_trend,,0.5517979264259338,0.0788282752037048,0.1732034236666035,logit,-0.4271704493453436,1.8580934272962228e-14,9.754990493305171e-14
