topic,size,label,keywords,mk_q,mk_p,mk_tau,mk_trend,burst_max,drift_total_dist,drift_step_mean,drift_robust_score,method,beta_year_z,p,q
0,350,0_object_detection_object detection_tracking,images; image; deep; deep learning; different; images; image; different; deep; neural; convolutional; cnn,0.0001355040723706,2.120933306670736e-05,0.61,increasing,,0.1195723414421081,0.0170817630631583,0.0375324696266054,logit,0.3849631882853018,1.5989444425370636e-09,7.0498914057316e-09
3,291,3_intrusion_intrusion detection_attacks_detection,attacks; attack; cyber; attacks; attack; cyber; threats; internet; things; iot; devices; security,0.0361899193688026,0.0207698667681823,0.3333333333333333,increasing,,0.0889124274253845,0.0148187379042307,0.030814699193323,logit,0.6241260746119788,1.2221804317602441e-15,1.3172389097860408e-14
1,285,1_customer_mining_customers_data mining,mining; data mining; association; association rules; mining; association; rule; rules; apriori; basket; market; frequent,0.0490470953804283,0.0298547537098259,-0.3133333333333333,decreasing,,0.172451376914978,0.0287418961524963,0.0597670928461487,logit,-0.1785248374252317,0.0016725250765153,0.0036052207204885
4,279,4_students_education_programming_usability,students; developed; educational; student; developed; tool; process; educational; students; student; teaching; teachers,9.640555334729702e-05,1.2574637393125698e-05,-0.6266666666666667,decreasing,,0.139004647731781,0.0347511619329452,0.0622657234600321,logit,-0.480815160717232,9.185720339282108e-18,1.4850247881839406e-16
2,276,2_sensor_wireless sensor_sensor networks_wireless,sensor; wireless sensor; sensor networks; wireless; nodes; sensor nodes; energy; node; lifetime; sensor; wireless; nodes,0.1220685450352619,0.0838557831111799,-0.25,no_trend,,0.1240067481994628,0.0206677913665771,0.0429774639424323,logit,-0.4542355896878715,2.226606499909449e-15,2.1598083049121654e-14
6,269,6_video_retrieval_image_visual,image; images; image retrieval; image; images; features; feature; texture; color; retrieval; database; query,0.3087987948909597,0.2336130013522912,-0.1733333333333333,no_trend,,0.0791310667991638,0.0197827666997909,0.0354459595618798,logit,-0.077235111223574,0.2082302902210201,0.2657676072557757
7,253,7_cancer_breast_segmentation_images,images; sperm; histopathological images; images; obtained; computer; aided; sperm; histopathology; breast; women; cancer,4.481169209628414e-05,4.676002653525302e-06,0.6566666666666666,increasing,,0.0560179352760314,0.0112035870552062,0.0218011737565506,logit,0.703028965385497,2.998645799536501e-15,2.6442603868640053e-14
5,232,5_sentiment_sentiment analysis_analysis_twitter,sentiment; sentiment analysis; sentiment; positive; negative; language; natural; processing; machine; accuracy; bert; deep,0.0001211104234021,1.790327998119068e-05,0.6,increasing,,0.0915658473968505,0.0152609745661417,0.0317343044793545,logit,0.5323248054524863,1.475200974887303e-10,7.949694142448245e-10
20,214,20_optimization_algorithm_algorithms_search,swarm; compared; obtained; swarm; particle; pso; discrete; continuous; binary; functions; better; local,0.7950433553363095,0.69134204811853,0.06,no_trend,,0.0400609374046325,0.0200304687023162,0.0277681258126095,logit,-0.1064252564565548,0.1211006645034119,0.1650050566254268
8,210,8_recommendation_recommender_filtering_collaborative,recommendation; recommendation systems; item; user; users; recommendations; user item; items; recommendation; users; items; item,0.0037033263102981,0.0014491276866384,0.4566666666666666,increasing,,0.1309350132942199,0.0218225022157033,0.0453786176507337,logit,0.2244424361168996,0.0033793846788475,0.0066046935603478
